match_id,date,competition,round,format,home_team,away_team,home_score,away_score,venue,city,attendance,is_final,is_opener,years_since_prev_wc,source
2025_03_22_ireland_france,2025-03-22,Six Nations,Round 1,15s,Ireland,France,15,27,Ravenhill Stadium,Belfast,6976,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship
2025_03_22_scotland_wales,2025-03-22,Six Nations,Round 1,15s,Scotland,Wales,24,21,Edinburgh Rugby Stadium,Edinburgh,4234,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship
2025_03_23_england_italy,2025-03-23,Six Nations,Round 1,15s,England,Italy,38,5,York Community Stadium,York,8381,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship
2025_03_29_france_scotland,2025-03-29,Six Nations,Round 2,15s,France,Scotland,38,15,Stade Marcel-Deflandre,La Rochelle,15000,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship
2025_03_29_wales_england,2025-03-29,Six Nations,Round 2,15s,Wales,England,12,67,Millennium Stadium,Cardiff,21186,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship
2025_03_30_italy_ireland,2025-03-30,Six Nations,Round 2,15s,Italy,Ireland,12,54,Stadio Sergio Lanfranchi,Parma,3337,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship
2025_04_12_france_wales,2025-04-12,Six Nations,Round 3,15s,France,Wales,42,12,Stade Amédée-Domenech,Brive-la-Gaillarde,12738,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship
2025_04_12_ireland_england,2025-04-12,Six Nations,Round 3,15s,Ireland,England,5,49,Musgrave Park,Cork,7754,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship
2025_04_13_scotland_italy,2025-04-13,Six Nations,Round 3,15s,Scotland,Italy,17,25,Edinburgh Rugby Stadium,Edinburgh,5029,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship
2025_04_19_italy_france,2025-04-19,Six Nations,Round 4,15s,Italy,France,21,34,Stadio Sergio Lanfranchi,Parma,1916,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship
