match_id,date,competition,round,format,home_team,away_team,home_score,away_score,venue,city,attendance,is_final,is_opener,years_since_prev_wc,source,venue_capacity
2025_03_22_ireland_france,2025-03-22,Six Nations,Round 1,15s,Ireland,France,15.0,27.0,Ravenhill Stadium,Belfast,6976,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship,18196.0
2025_03_22_scotland_wales,2025-03-22,Six Nations,Round 1,15s,Scotland,Wales,24.0,21.0,Edinburgh Rugby Stadium,Edinburgh,4234,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship,7800.0
2025_03_23_england_italy,2025-03-23,Six Nations,Round 1,15s,England,Italy,38.0,5.0,York Community Stadium,York,8381,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship,8500.0
2025_03_29_france_scotland,2025-03-29,Six Nations,Round 2,15s,France,Scotland,38.0,15.0,Stade Marcel-Deflandre,La Rochelle,15000,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship,16000.0
2025_03_29_wales_england,2025-03-29,Six Nations,Round 2,15s,Wales,England,12.0,67.0,Millennium Stadium,Cardiff,21186,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship,73931.0
2025_03_30_italy_ireland,2025-03-30,Six Nations,Round 2,15s,Italy,Ireland,12.0,54.0,Stadio Sergio Lanfranchi,Parma,3337,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship,5000.0
2025_04_12_france_wales,2025-04-12,Six Nations,Round 3,15s,France,Wales,42.0,12.0,Stade Amédée-Domenech,Brive-la-Gaillarde,12738,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship,14000.0
2025_04_12_ireland_england,2025-04-12,Six Nations,Round 3,15s,Ireland,England,5.0,49.0,Musgrave Park,Cork,7754,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship,8008.0
2025_04_13_scotland_italy,2025-04-13,Six Nations,Round 3,15s,Scotland,Italy,17.0,25.0,Edinburgh Rugby Stadium,Edinburgh,5029,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship,7800.0
2025_04_19_italy_france,2025-04-19,Six Nations,Round 4,15s,Italy,France,21.0,34.0,Stadio Sergio Lanfranchi,Parma,1916,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship,5000.0
2025_04_19_england_scotland,2025-04-19,Six Nations,Round 4,15s,England,Scotland,59.0,7.0,Welford Road,Leicester,15530,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship,25949.0
2025_04_20_wales_ireland,2025-04-20,Six Nations,Round 4,15s,Wales,Ireland,14.0,40.0,Rodney Parade,Newport,3568,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship,8700.0
2025_04_26_scotland_ireland,2025-04-26,Six Nations,Round 5,15s,Scotland,Ireland,26.0,19.0,Edinburgh Rugby Stadium,Edinburgh,6375,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship,7800.0
2025_04_26_england_france,2025-04-26,Six Nations,Round 5,15s,England,France,43.0,42.0,Twickenham Stadium,London,37573,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship,82000.0
2025_04_27_italy_wales,2025-04-27,Six Nations,Round 5,15s,Italy,Wales,44.0,12.0,Stadio Sergio Lanfranchi,Parma,1899,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Six_Nations_Championship,5000.0
2024_03_23_france_ireland,2024-03-23,Six Nations,Round 1,15s,France,Ireland,38.0,17.0,Stade Marie-Marvingt,Le Mans,15559,0,0,,https://en.wikipedia.org/wiki/2024_Women's_Six_Nations_Championship,25064.0
2024_03_23_wales_scotland,2024-03-23,Six Nations,Round 1,15s,Wales,Scotland,18.0,20.0,Cardiff Arms Park,Cardiff,5965,0,0,,https://en.wikipedia.org/wiki/2024_Women's_Six_Nations_Championship,12125.0
2024_03_24_italy_england,2024-03-24,Six Nations,Round 1,15s,Italy,England,0.0,48.0,Stadio Sergio Lanfranchi,Parma,3600,0,0,,https://en.wikipedia.org/wiki/2024_Women's_Six_Nations_Championship,5000.0
2024_03_30_scotland_france,2024-03-30,Six Nations,Round 2,15s,Scotland,France,5.0,15.0,Edinburgh Rugby Stadium,Edinburgh,5000,0,0,,https://en.wikipedia.org/wiki/2024_Women's_Six_Nations_Championship,7800.0
2024_03_30_england_wales,2024-03-30,Six Nations,Round 2,15s,England,Wales,46.0,10.0,Ashton Gate,Bristol,19705,0,0,,https://en.wikipedia.org/wiki/2024_Women's_Six_Nations_Championship,27000.0
2024_03_31_ireland_italy,2024-03-31,Six Nations,Round 2,15s,Ireland,Italy,21.0,27.0,RDS Arena,Dublin,6605,0,0,,https://en.wikipedia.org/wiki/2024_Women's_Six_Nations_Championship,18500.0
2024_04_13_scotland_england,2024-04-13,Six Nations,Round 3,15s,Scotland,England,0.0,46.0,Edinburgh Rugby Stadium,Edinburgh,7774,0,0,,https://en.wikipedia.org/wiki/2024_Women's_Six_Nations_Championship,7800.0
2024_04_13_ireland_wales,2024-04-13,Six Nations,Round 3,15s,Ireland,Wales,36.0,5.0,Musgrave Park,Cork,6139,0,0,,https://en.wikipedia.org/wiki/2024_Women's_Six_Nations_Championship,8008.0
2024_04_14_france_italy,2024-04-14,Six Nations,Round 3,15s,France,Italy,38.0,15.0,Stade Jean-Bouin,Paris,13586,0,0,,https://en.wikipedia.org/wiki/2024_Women's_Six_Nations_Championship,19904.0
2024_04_20_england_ireland,2024-04-20,Six Nations,Round 4,15s,England,Ireland,88.0,10.0,Twickenham Stadium,London,48778,0,0,,https://en.wikipedia.org/wiki/2024_Women's_Six_Nations_Championship,82000.0
2024_04_20_italy_scotland,2024-04-20,Six Nations,Round 4,15s,Italy,Scotland,10.0,17.0,Stadio Sergio Lanfranchi,Parma,3000,0,0,,https://en.wikipedia.org/wiki/2024_Women's_Six_Nations_Championship,5000.0
2024_04_21_wales_france,2024-04-21,Six Nations,Round 4,15s,Wales,France,0.0,40.0,Cardiff Arms Park,Cardiff,5786,0,0,,https://en.wikipedia.org/wiki/2024_Women's_Six_Nations_Championship,12125.0
2024_04_27_wales_italy,2024-04-27,Six Nations,Round 5,15s,Wales,Italy,22.0,20.0,Millennium Stadium,Cardiff,10592,0,0,,https://en.wikipedia.org/wiki/2024_Women's_Six_Nations_Championship,73931.0
2024_04_27_ireland_scotland,2024-04-27,Six Nations,Round 5,15s,Ireland,Scotland,15.0,12.0,Ravenhill Stadium,Belfast,7468,0,0,,https://en.wikipedia.org/wiki/2024_Women's_Six_Nations_Championship,18196.0
